MID,CATEGORY,SUB,MESSAGE,SEND_LOC
39161,안내,행정안내,[해남군청] 7월1일부터 대중교통을 이용하는 승객분들의 마스크착용이 의무화됩니다. 위반시 행정처분이 될 수 있으니 적극 동참바랍니다. ,전라남도 해남군
39165,안내,발생현황,"[순창군청]코로나19 감염이 인근 광주,대전지역에서 지속 발생하고 있습니다.개개인이 방역주체가 되어 타지역방문자제,마스크착용,건강거리두기,방역수칙 준수 바랍니다. ",전라북도 순창군
39166,안내,개인방역수칙,"[경상북도청] 유흥주점, 노래연습장 등 ""고위험시설""을 방문할 때는 개인신상정보가 담긴 QR코드를 반드시 찍어 우리지역에 코로나19 감염을 차단합시다. ",경상북도 전체
39168,안내,발생현황,"[중앙재난안전대책본부] 사업장에서의 감염 지속, 사업주께서는 ① 유증상 직원 쉬게하기 ② 재택·유연근무 장려 ③ 사업장 소독과 환기 등 방역수칙을 준수 바랍니다. ","강원도 전체,경기도 전체,경상남도 전체,경상북도 전체,광주광역시 전체,대구광역시 전체,대전광역시 전체,부산광역시 전체,서울특별시 전체,울산광역시 전체,인천광역시 전체,전라남도 전체,전라북도 전체,제주특별자치도 전체,충청남도 전체,충청북도 전체,세종특별자치시"
39169,안내,행정안내,[영주시청]오늘부터 고위험시설 8종에 대하여 전자출입명부 의무 적용 시행. 고위험시설 방문시 QR코드를 반드시 찍어 우리지역 코로나19 감염을 차단합시다. ,경상북도 영주시
39175,안내,발생현황,[김해시청] 코로나19 소규모 감염이 전국으로 확산되고 있습니다. 다중이용시설 이용 시 마스크착용 잊지 마시고 개인방역지침을 준수하여 지역사회 유입을 차단합시다. ,경상남도 김해시
39176,안내,행정안내,"[남해군청]오늘부터 유흥주점,노래연습장 등에 대하여 전자출입명부 의무 적용 시행됩니다. 업소 출입시 QR코드를 반드시 찍어 우리지역 코로나19 감염을 차단합시다. ",경상남도 남해군
39178,안내,발생현황,"[순천시청] 코로나19 감염이 인근(목포, 광주)에서 지속 발생하고 있습니다. 개개인이 방역주체가 되어 마스크 착용 등 방역수칙을 반드시 준수 바랍니다. ",전라남도 순천시
39180,안내,개인방역수칙,"[강진군청] 밀집·밀접·밀폐된 다중이용시설 및 소규모 모임을 자제하시고, 외출 시 마스크 착용을 의무화해 주시기 바랍니다. ",전라남도 강진군
39181,안내,발생현황,"[무안군청]최근 광주·전남권 코로나 감염세가 확산 중으로 가급적 타지역 방문, 소모임, 동호회, 집회 등 자제바라며 외출 시 ‘꼭’ 마스크 착용바랍니다. ",전라남도 무안군
39185,안내,발생현황,"[목포시청]광주(수도권) 방문으로 인해 지역 감염이 확대되고 있어 방문 자제, 증상의심 시 보건소로 신고검사, 마스크 착용을 꼭! 생활화 해주시기 바랍니다. ",전라남도 목포시
39194,안내,발생현황,"[함평군청]광주와 전남지역에서 계속적인 확진자가 발생하여 타지역 방문 및 소규모 모임을 자제하고, 외출 시에는 방역수칙 준수와 마스크를 착용해주시기 바랍니다. ",전라남도 함평군
39195,안내,발생현황,"[전남도청] 광주지역 확진자 급증으로 반드시 마스크를 쓰셔야합니다(사례: 확진자와 함께 입원실 방문, 승용차 동승했지만 마스크 써서 접촉자가 음성판정 받았습니다) ",전라남도 전체
