	MESSAGE	CATEGORY
21750	[노원구청] 3.15(월) 확진자 5명 발생(1338~1342번). 역학조사후 https://www.nowon.kr/corona19/index.do 공개하겠습니다 	2
2532	[하남시청] 8.21.(금) 31번~32번 확진자 발생. 역학조사 진행중으로 추후 공개예정입니다. https://c11.kr/hdd7 	2
16119	[남해군청] 진주기도원과 경북 상주 BTJ열방센터 방문 확진자 도내 감염 지속 ▶종교 비대면 예배·미사·법회 실시 ▶종교시설 주관 모임·식사 금지 요청드립니다. 	1
1054	[광진구청] 소모임으로 인한 코로나19 지속 발생!! 밀폐된 공간에서 모임자제. 실내에서 반드시 마스크를 착용하시고, 주기적인 환기 및 소독 바랍니다. 	2
18125	[밀양시청]밀양62번~63번 확진자2명 발생/심층역학조사 및 방역소독 진행중/코로나증상 의심시 검사받기,모임금지,마스크착용철저 등 방역수칙을 준수하시기 바랍니다. 	2
99	[김해시청]최근 광주지역 코로나 확진자가 계속적으로 발생하고 있습니다. 시민들께서는 광주 등 확진자 발생지역 방문을 자제하여 주시고, 외출시 마스크 반드시 착용! 	1
13310	[부산시]2020.12.15.(화) 16:30경 동래구보건소~충렬사 인근 5,400원 카드 결제한 택시기사님은 동래구보건소로 연락 바랍니다. 	0
21091	[강화군청]코로나19 확진 5명, 증상발현시 보건소(930-4009) 검사받으시고 불필요한 외출자제 바랍니다.https://pf.kakao.com/_cxoxnGT 	2
19525	[대전광역시] 2명 추가 확진. 1147번~1148번(서구, 기 확진자 관련) 자가격리 중 확진으로 동선은 없습니다. 	2
7904	[파주시청]코로나19 가족간 감염확진 9명발생(금촌1동3명,운정2동6명).동선 vo.la/sStRC 공개예정.방역수칙준수하면 내 가족,이웃,동료를 지킬수있습니다. 	2
11924	[미추홀구청] 추가확진자 2명발생(타지역접촉자1, 유증상자1), 방역소독예정, 세부내용 홈페이지게시 https://www.michuhol.go.kr/corona/ 	2
21835	[도봉구청]3.16(화) 확진자 1명 발생(960번).역학조사결과 홈페이지(m.dobong.go.kr)공개예정입니다. 증상있는 분은 즉시 보건소에서 검사바랍니다. 	2
2550	[동작구청]106,107번째 확진자(완치자 71명)발생, 구홈페이지 및 블로그, SNS확인하여 주시기 바랍니다. blog.naver.com/dongjaksaran 	2
3597	[강진군청] 마스크 착용, 사람간 접촉 최소화 등 방역수칙을 준수하시기 바랍니다. 	1
10822	[남원시][수정] 12.04.(금)에 검사한 방문자는 확진자2명을 제외한 검사자 모두 음성입니다. 	0
14246	[산청군청] 12.24.(목) 18:52 시천면 가마치통닭에서 18,500원 카드결제 하신 분은 선별진료소에서 검사 후 연락바랍니다.(055-970-7539) 	0
12893	[관악구청] 코로나 확진자 11명 발생 및 우리구 확진자 역학조사 결과 공개 자세한 내용은 블로그 참고바랍니다. blog.naver.com/gwanak_gu 	2
1413	[광주시청]관내46번(남/60대/오포읍 거주)확진자 발생.격리병상 이송, 자택 및 주변 소독완료. 추후 역학조사 확인사항은 SNS 및 홈페이지 공개예정입니다. 	2
8033	[강서구청] 강서구 확진자 2명 발생(등촌3동, 화곡8동)안내. 상세내용은 블로그 참조바랍니다. blog.naver.com/gangseokkachi 	2
17593	[도봉구청] 1.25(월) 확진자 2명 추가 발생(719번~720번). 역학조사결과 이동동선 및 조치사항 홈페이지(m.dobong.go.kr) 공개예정입니다. 	2
14876	[서천군청] 오늘부터 모레(1.3) 16시 까지 국민체육센터 주차장 드라이브스루 선별진료소에서 코로나19 무료검사 운영하오니 안전운전 하시어 많은 이용바랍니다. 	1
19314	[서대문구청]코로나19. 705~706번째 확진자 발생. 역학조사 중. 자세한 사항 구홈페이지, 블로그 공개 예정입니다 blog.naver.com/sdmstory 	2
7564	[보령시청]요양원, 주간보호센터, 재활병원 등 집단감염 발생우려 시설에서 코로나19 확진자 지속 발생중. 시설방역을 철저히 해주시고 개인방역수칙을 준수해주세요 	1
6811	[군포시청] 확진자 1명 발생(군포172). 방역소독 및 역학조사 중. 상세정보 참조 blog.gunpo.go.kr 	2
4655	[당진시청③]김가네왕숯불갈비 및 안성각 동시간대 방문자 중 유증상자는 보건소 검사바랍니다. blog.naver.com/dangjin2030/222081932761 	0
2363	[경상남도]부산240확진자관련-울주군주암계곡행관광버스(8.16.8:50부산동래역4번출구출발,부산숙등역경유)탑승자,해운대구보건소(051-749-7543)연락바랍니다 	0
20794	[금천구청]470번째 확진자 발생(1명), 금천구 예방접종 26일부터 시행, 거리두기 2단계 2주 연장, 카카오톡채널 pf.kakao.com/_hUpLxb 	2
19652	[서산시청] 서산 163번, 164번 확진자 발생. 정밀역학 조사 중, 자세한 사항은 다시 알려드리겠습니다. 	2
14993	[남동구청] 코로나19 확진자 4명 발생(확진자 접촉자 2명, 감염경로 확인 중 2명) 증상발현자는 거주지 보건소에서 검사바람. reurl.kr/66ED5AEYK 	2
11269	[강동구청]12.8(화) 10시기준 코로나19 확진자 5명 발생 및 역학조사 결과 안내, 세부내용은 홈페이지(c19.gd.go.kr) 참고바랍니다. 	2
1266	[대전광역시] 1명 추가 확진. 167번(유성구 전민동, 30대) 해외입국자로 자가격리중 확진되어 이동 동선은 없습니다. 	2
7616	[칠곡군청]코로나19 예방을위해 ▲종교예배 후 소모임,식사 자제 ▲가을철 단체산행 및 여행자제 ▲마스크 착용 등 방역수칙을 준수하며 안전한 휴일 보내기 바랍니다. 	1
12800	[부산시] 12.12(토) 11:00경 동래봉생병원(내원자 아님)~동래구보건소 4,200원 현금 수납한 택시기사님은 동래구보건소로 연락 바랍니다. 	0
8046	[고양시청]코로나19 확진자 6명 발생 ▶486~490번(덕양구5명) ▶타지역확진 고양시민(덕양구1명) https://han.gl/iMmgw 참조 	2
1641	[경남도청] 8.15.(토) 서울 광복절 집회(종로구 동화면세점 앞)에 참석한 도민 중 증상이 있는 분은 관할보건소로 연락바랍니다. 	0
10739	[구미시청] 최근 모임을 통한 코로나 확진자가 확산되고 있습니다. 외출시 꼭 마스크를 착용하시고, 개인방역수칙 철저히 준수해 주시기 바랍니다. 	1
11581	[안동시청]마스크착용은 코로나19 감염예방의 최선의 백신입니다▲경북형 사회적거리두기 2단계지침 준수와 실내외 마스크착용 생활화로 나와 가족의 안전을 지켜주세요 	1
14136	[철원군청]코로나 확진 5명 발생(종교시설 관련1명, 확진자 가족3명, 타지역 확진자 접촉1명).이동동선 홈페이지 공개예정. http://www.cwg.go.kr 	2
21387	[대구광역시] (재발송 - 확진자 수 정정) 11일 0시 기준 확진자 4명(수성구 2, 달서구 1, 북구 1) 발생. 	2
12418	[남동구청]12.12(토) ~ 12.13(일) 논현2동 소재 해장국(구 사리울포차, 논현동 561-5) 방문객은 주소지 보건소에서 즉시 코로나19 검사 바랍니다. 	0
16216	[부산시]21.1.5.(화) 14:00~15:00 전포동 선거사무실(부산진구 중앙대로 808, 금정빌딩 802호) 방문자는 보건소에 상담바랍니다.(소독완료) 	0
12590	[담양군청]무증상 감염자가 청·장년층을 중심 전국으로 확산/ 만남과 이동 자제 / 식사 외 마스크 쓰기 / 각종 모임 취소 / 밀집·밀폐공간 출입 삼가바랍니다. 	1
1579	[부산시]이모네 손칼국수보리밥(사상구 사상로212번길6) 8.5/8.6 10:00~21:00, 8.10 10:10~21:00 방문자는 코로나상담 및 검사바랍니다. 	0
11495	[경상북도청] 사회적 거리두기 2단계와 관련하여 식당, 카페는 면적에 상관없이 23시 ~ 익일 5시까지 포장배달만 가능합니다. 	1
800	[광주광역시]7.14~17 16:30종합버스터미널, 16:50학동정류장, 16:52소태역정류장에서 보성율포행 시외버스를 이용하신분은 보건소에서 검사받으시기바랍니다 	0
1377	[부산시] 8.14(금) 동네의원 집단휴진 예고, 오늘 의료기관 방문시 사전에 119, 콜센터(120), 시와 구청 홈페이지에 확인 후 진료 받으시기 바랍니다. 	0
13455	[경주시청]확진자3명 발생, 177번(163번 접촉),178번(173번 접촉),179번(감염경로 파악중) 역학조사 진행중이며, 상세내용 파악 즉시 공개예정입니다. 	2
10430	[괴산군청] 코로나19 확진자 발생(괴산군12번), 경기도 부천시 거주자이며 서울시 동작구 확진자 접촉자로 관내 일시 방문 중 보건소 검체채취, 금일 확진. 	2
9794	[장성군청] 코로나19 확진자 1명(상무대) 발생, 동선조사 후 장성군 홈페이지 공개예정, 감염병예방을 위하여 외출자제, 마스크 착용 등 방역수칙 준수 바랍니다. 	2
4383	[기장군청] 기장군 3단계 준하는 사회적 거리두기 4원칙. 1.외출시 마스크 착용 필수. 2.필수적 사회경제 활동 외 모든 활동 자제. 	1
20095	[강원도청]2.14.~20. 기간내 정선군 임계지역을 다녀오신 분이나 행복한성결교회 교인 및 접촉 주민을 만나신 분들은 가까운 보건소에서 검사 받으시기 바랍니다. 	1
7041	[곡성군청] 코로나19에는 휴일이 없습니다. 사회적 거리두기, 손 씻기, 실내외 마스크 착용 등 개인 방역수칙 준수가 나와 내 가족의 안전을 지키는 길입니다. 	1
5225	[강북구청]135번 확진자 발생, 동선 홈페이지(gangbuk.go.kr) 추후 공개, 마스크착용, 거리두기2.5단계 사항을 준수 바랍니다. 	2
17134	[계양구청] 계양구 406번 코로나19 확진환자 1명 발생. 역학조사 완료 및 방역 중. blog.naver.com/gyeyang_gu 	2
1883	[가평군청] 가평군10번 확진자 발생, 군부대내 감염으로 관내 이동 동선 없으며, 부대내 재검자는 음성으로 판정. 마스크 착용, 개인방역수칙 준수 바랍니다. 	2
10431	[괴산군청] 주민들께서는 마스크착용, 거리두기, 확진자 발생지역 방문자제 등 방역수칙을 철저히 준수해 주시기 바랍니다. 	1
760	[금천구청]36번째 확진자 발생, 지정병원 입원 및 자택 방역 완료, 역학조사 후 동선 공개, 금천구 카카오톡 채널추가 pf.kakao.com/_hUpLxb 	2
16144	[부천시청] 코로나19 확진자 2명 발생[대산동 1명, 인천 서구 1명] 인근지역 방역소독완료 blog.naver.com/bucheon-city 	2
5668	[기장군 3단계 준하는 사회적 거리두기 4원칙 안내] 1.외출시 마스크 착용 필수 2.필수적 사회경제 활동 외 모든 활동 자제 	1
