Column1,MESSAGE,CATEGORY
24245,"[담양군청] 타지역 방문 및 연말 모임·각종 행사 자제바라며, 실내시설·밀집된 실외 마스크착용, 수시 환기 등 철저한 방역수칙 준수바랍니다.[ ",0
28675,[경상북도청] 코로나19 확산방지를 위해 ▲실내·외 마스크 착용 필수 ▲사람간의 접촉 최소화 ▲주기적 1일 3회 이상 환기와 소독을 실천바랍니다. ,0
14784,"[보성군] 주말 종교활동은 가급적 비대면 실시, 추석 장보기를 위한 시장, 마트 방문시에는 '마스크착용'과 '거리두기'를 꼭 지켜주세요! ",0
36192,"[수영구청]코로나19 임시선별검사소 1월 24일까지 연장 운영(10~17시, 공휴일포함, 점심시간12~13시 미운영). 무증상자 무료검사. 민락동110-23번지 ",2
14087,"[경상북도청] 추석명절 귀성·역귀성 자제, 고향친척 방문자제, 성묘시 생활속 거리두기 실천, 불필요한 모임·외출 자제, 그리고 마스크착용이 최고의 방역입니다. ",0
45022,[여수시청]2.15(월)~2.28(일)사회적거리두기1.5단계 √5인사적모임금지√유흥시설22시~익일05시운영중단√종교활동30%이내허용 ,2
6745,"[음성군청]마스크 착용 등 방역수칙을 준수바라며 기침, 인후통 등 증상이 있을 시 음성보건소(871-2181~3)로 상담바랍니다. ",0
12915,"[임실군청]코로나19 예방을 위해 이번 추석명절은 고향 및 친지 방문 자제, 만남 및 안부는 영상통화, 불필요한 외출자제, 마스크 착용 등 방역수칙 준수 바랍니다 ",0
33784,[진도군청]12.29일부터 1.3일까지 사회적 거리두기 2단계가 연장됩니다 ①유흥·단란주점 집합금지 ②노래방·방문판매·학원·실내체육시설·영화관 21시이후 운영중단 ,2
44155,"[영월군청] 설 연휴기간(2.11.~14.) 5인이상 사적모임 금지, 마스크 착용 등 방역수칙 준수 바라며, 보건소 선별진료소는 정상 운영됨을 알려드립니다. ",2
17379,"[문경시 사회적 거리두기 1단계 3원칙] 1.마스크 착용 필수 2.각종 시설 방문시 방역수칙 준수 철저 3.불필요한 행사,모임 참석 및 다중이용시설 방문 자제 ",2
49431,[해남군청] 코로나19 예방을 위해 5인부터 사적모임 금지▶기침·발열 등 의심증상 시 검사 받기▶음식 섭취 시 대화 자제▶마스크 착용 등 방역수칙 준수 바랍니다. ,0
19327,"[인제군청] 위기가구긴급생계지원신청안내(1/2) / 11.20.까지 / 소득감소, 중위소득 75%이하, 재산3억원이하 / 지원금40~100만원 / 460-2211 ",2
6386,"[괴산군청] 음식점,목욕탕 등 다중이용시설 전자출입명부 이용 등 방역수칙준수 의무화 종교시설 예배,미사,법회 온라인실시 강력권고 및 소모임,수련회 등 행사금지 ",2
21033,"[대구광역시]코로나19 감염이 생활 속 전반에서 발생중입니다. 나와 가족, 이웃의 안전을 위해 마스크 착용을 꼭 부탁드리며 의심 증상시 보건소로 연락 바랍니다. ",0
28189,[당진시청]코로나19 이동 선별진료소 운영 일시: 12.14.(월)10시~15시 장소: 당진종합운동장 게이트볼장 증상이 의심되는 시민은 방문 후 검사 바랍니다. ,2
45089,"[서천군청]오늘부터 식당·카페, 노래방, 실내체육시설 등 운영시간 제한해제▲유흥시설, 방문판매업 22시 이후 중단▲5인 이상 사적모임 금지(직계가족 제외) ",2
39851,"[장흥군청] 최근 가족모임에서 가족 감염사례가 늘고있습니다. ▶가족모임 취소 ▶안부전화, 영상통화로 대신 ▶고향, 수도권 방문자제 등 개인간 접촉 최소화바랍니다. ",1
14638,"[아산시청]코로나19관련 긴급재난지원금을 악용한 보이스피싱이 증가하고있습니다. 다른계좌로 송금하거나 출처를 알수없는 앱은 설치하지마세요.(신고:112,아산경찰서) ",2
42766,[울산광역시] 매주 수요일 오후 5시 「울산 시민 방역의 날」 운영. 내 주변과 생활공간을 소독하고 마스크 꼭 쓰기로 생활 속 방역을 실천 바랍니다. ,2
22035,"[강원도청] 코로나19!! 직장동료, 가족, 학교, 학원 등으로 전파 감염됨. 모임 및 외출삼가, 마스크 착용, 증상 발현 시 선별진료소 검사 바랍니다. ",1
30276,"[평택시]수도권 지역에 코로나 검사인원이 5배이상 증가되어 검사결과를 확인하는데 48시간 이상 소요되며, 검사결과가 나오면 바로 알려드리겠습니다. ",2
5430,"[여수시청]최근 인근 지자체(순천, 광양 등) 및 수도권에서 코로나19 감염이 확산되고있으니 타지역 방문 및 외출 자제,마스크 착용을 철저히 지켜주시기 바랍니다. ",1
14558,"[중대본] 식당·카페 등 다중이용시설에서는 수시로 환기와 소독을 하고, 종사자·이용자 모두 마스크 착용 등 방역수칙 준수 요청 ",0
38753,[거창군청]거창군보건소 선별진료소 주말(16~17일)운영시간 21:00시까지 연장 운영하오니 적극적인 검사로 코로나19 확산방지에 동참하여 주시기 바랍니다. ,2
5584,"[임실군청] 서울,경기 등 수도권지역 코로나19 확진자가 크게 확산됨에 따라 군민여러분께서는 타지역 방문을 자제하여 주시고 마스크 착용 등 방역수칙 준수바랍니다. ",1
11459,[전남도청] 코로나19 확산세를 확실히 꺾기 위해 ▲친척·지인 만남이나 타지역 방문 자제 ▲외출 시 동선 및 음식점·카페서 머무는 시간 최소화 적극 실천바랍니다. ,1
30583,"[예천군청] ①12.21.(월) 0시부터 사회적거리두기 강화된 2단계 행정명령 시행으로 유흥시설 5종은 집합금지, 노래연습장은 21시이후 운영 중단됩니다. ",2
556,"[강진군청] 광주시 확진자 확산으로 광주 방문을 자제해 주시고, 어떤 장소에서건 반드시 마스크를 착용하시기 바랍니다. ""타지역 방문 자제, 마스크 착용 필수"" ",1
20840,"[안동시청]최근 가족간 모임행사 등으로 도내에 다수의 확진자 발생/코로나 확산방지를 위하여 가족간 모임행사, 김장행사 등 자제하여 주시기 바랍니다. ",1
1335,[광진구청] 행정명령 실행중!! 7.1부터 광진구 모든업소 종사자ㆍ이용자 실내 마스크 착용 의무화!! 사회적 거리두기 방역수칙 준수 바랍니다. ☎024501000 ,2
22805,[안동시청]전국 코로나확진자 500명대로 급증▲타지역방문 및 타지역 가족·친인척 안동방문자제요청▲모임·회식·행사자제▲실내외 마스크착용▲의심증상시 보건소상담바랍니다 ,1
19375,"[완도군청]광주, 순천, 광양, 여수 등 인근지역에서 원인을 알 수 없는 코로나19 확진자가 발생되고 있으니 군민들께서는 타지역 방문을 자제해 주시기 바랍니다. ",1
17591,[김해시청] 최근 긴급생계지원사업 관련 가정 또는 사업장에 직접 방문하여 신청 안내하는 사기에 유의하세요 ,1
14625,"[강화군청]인천 마스크 착용 의무화 안내(실내: 대중교통 및 건축물, 실외: 다중접촉장소 및 공원, '20.10.13.부터 미착용시 10만원이하 과태료 부과) ",2
12948,[영주시청] 추석명절 코로나19로부터 안전하게 보내기! ①벌초는 대행서비스 이용 ②고향방문 및 역귀성 최대한 자제 ③마스크 착용 철저 등 방역수칙 준수 바랍니다. ,0
9931,"[부안군청] 사회적 거리두기 2단계입니다. 불필요한 모임, 외출 자제, 마스크 착용, 2M 거리두기, 다중이용시설 출입 자제 등 개인방역수칙을 실천합시다. ",2
23690,[창원시청]11월29일(일) 0시부터 '창원시 사회적 거리두기'가 강화됩니다(2단계). 적극적인 동참과 방역수칙을 꼭 지켜주세요.(시 홈페이지 참조) ,2
2969,[청양군청] 금일 수도권 지역 코로나19 확진자 다수 발생. 주말연휴 수도권 방문 자제 및 외출 시 마스크 착용 등 방역수칙 준수 바랍니다. ,1
50966,[속초시청] 속초시 임시선별진료소 운영 안내 ▲일시: 3.18(목) 10:00~18:00 ▲장소: 석봉도자기미술관 앞 공영주차장 ▲대상: 속초시민(검사무료) ,2
41270,"[울산광역시] 1.4.(월)~1.26.(화) IM선교회 대전본부,산하 전국소재 교육시설 방문자 중 미검사자는 200만원 이하 벌금 및 구상권 청구될 수 있습니다. ",2
15699,[고흥군청] 코로나19 예방을 위해▲타지역방문 및 모임자제▲실내외 마스크 꼭 착용▲악수등 신체접촉 최소화하기▲사람간 거리두기로 안전한 추석명절 보내시기 바랍니다. ,0
24976,"[김천시청] 최근 우리지역에 코로나19 확진자가 다수 발생하고 있으니, 수험생 여러분께서는 시험이 끝나는 즉시 귀가하여 주시기 바랍니다. ",1
20747,"[영월군청] 11.13.부터 마스크착용 행정명령에 따라, 영월군은 12.1(화)부터 마스크 미착용시 과태료가 부과됩니다. 외출시 마스크 착용 준수 바랍니다. ",2
28370,[완도군청] 코로나19 대유행으로 12.14.~'21.1.10.(4주간) 선별진료소 22시까지 연장 운영. 증상유무 관계없이 보건의료원 상담후 무료검사가능합니다. ,2
15939,"[강진군청]코로나19 감염병 재확산 방지를 위해 모임자제,사람이 많은 밀폐공간 방문상가,마스크착용,손씻기,대화시 거리두기,안전한 추석연후 마무리 하시기바랍니다. ",0
43482,"[임실군청] 거리두기 2단계는 2.14.까지 연장/ 식당,까페,노래연습장,실내체육시설은 22시까지 운영 제한 변경/ 마스크 착용 등 방역수칙 준수 바랍니다. ",2
49082,"[부산시] 부산시 임시선별검사소(부산역, 시청등대광장, 부산진구놀이마루)는 3.7(일) 17시까지 운영되며, 3.8(월)부터는 종료되어 운영하지 않습니다. ",2
33835,"[영월군청] 소규모 모임으로 인한 가족·지인간 확진사례가 지속 증가하고 있습니다. 연말연시 타지역 방문과 접촉을 자제, 거리두기를 철저히 지켜주시기 바랍니다. ",1
38870,"[금정구청]코로나19임시선별검사소 운영(12.30~1.24까지 연장,10시~17시,주말공휴일 포함),온천천(장전역1번출구 하단),무증상도 누구나 무료검사가능합니다 ",2
43191,[청양군청] 정산면사무소 내 설치된 선별진료소가 2.5.(~21시까지) / 2.6~2.7.(09~12시까지) 운영됩니다. 의심증상시 방문 진료받으시기 바랍니다. ,2
18810,"[함안군청] 인근지역 코로나 확진자 다수 발생, 관외 방문을 자제하여 주시고 11월 13일부터 시행되는 마스크착용의무화 등 방역수칙을 준수하여 주시기 바랍니다. ",1
11117,[원주시청]정부방침으로 전국 사회적거리두기 2단계 9.20일까지 연장. 불필요한 외출·모임·다중이용시설·타지역 방문 자제 등 시민여러분의 적극적인 협조 바랍니다. ,2
20695,"[김천시청] 최근 모임, 다중이용시설 등에서 다수의 확진자 발생. 타지역 방문자제 및 마스크착용 등 방역수칙 준수바랍니다. ",1
39624,"[강진군청]마스크 쓰기를 실내.외에서 생활화.코로나 예방에는 마스크 착용이 가장 효과적,식당에서 식사중에는 말을 하지말고,식사후 마스크 착용하고 대화 바랍니다. ",0
14430,[서천군청] 최근 우리 지역에 재난지원금 관련 전화 금융 사기(보이스피싱)가 빈번하게 발생하고 있습니다. 피해를 입지 않도록 각별히 주의하시기 바랍니다. ,1
16004,[기장군 3단계 준하는 사회적 거리두기 4원칙 안내] 1.외출시 마스크 착용 필수 2.필수적 사회경제 활동 외 모든 활동 자제 ,2
24900,"[완도군청] 일상생활 공간 중심으로 코로나 확진자 지속발생▶김장.회식.모임 취소 또는 연기▶주기적으로 환기, 소독 실시▶마스크 착용 등 방역수칙 준수바랍니다. ",1
38320,[논산시청] 논산시에서는 이번주 17일까지 코로나19 임시선별검사소를 무료로 운영하고 있습니다. 금일은 20시까지 연장운영하오니 많은 참여 바랍니다. ,2
12864,"[강진군청]추석연휴 코로나 예방을 위해 귀성,역귀성자제,벌초는 대행서비스 이용등 가족의 안전을 위해 예방수칙 준수 바라며,마스크는 실내,실외 착용바랍니다. ",0
48706,"[밀양시청] 코로나19 조기 종식을 위해 관외지역 방문 등 불필요한 외출은 자제하시고 일상생활에서도 마스크 착용, 손소독 등 방역수칙을 준수하시기 바랍니다. ",0
15561,[여수시청] 안전한 추석을 위해 ▲마스크 착용 철저▲다른 사람과 거리두기(2m)▲소규모 외출▲개인 위생 철저▲휴게소 가급적 방문 자제 등 방역수칙 준수바랍니다. ,0
48441,[청송군청] 금일 현동면사무소 앞 임시선별진료소를 17시까지 운영합니다. 증상유무 관계없이 누구나 검사받을 수 있습니다. ,2
49936,"[정읍시청4] 코로나19 예방을 위해 타지역 방문 및 외부인 접촉 자제, 마스크 착용, 시설 소독 및 환기 등 생활방역수칙을 준수하여주시기 바랍니다. ",0
15403,[고성군청] 집회와 종교 모임으로 인한 집단감염 전파가 계속되고 있습니다. 개천절(10.3) 및 한글날(10.9) 불법집회 참석을 자제해 주시기 바랍니다. ,1
24634,[창녕군청]수험생의 안전과 시험장 방역을 위해 학교방문 자제. 보건소 선별진료소를 오늘 22시까지 연장 운영하오니 유증상자는 신속히 방문하여 검사 받기 바랍니다. ,2
3744,"[군산시청2] 코로나19 확산 방지를 위해 외출을 자제해 주시고, 부득이한 외출시 반드시 마스크 착용 등 사회적 거리두기에 적극 동참하여 주시기 바랍니다. ",0
14983,"[함평군청]추석 특별방역기간(9.28~10.11) 거리두기강화/ 실내50인, 실외100인이상집합,모임,행사금지, 마스크 상시착용, 거리두기 등 수칙준수 바랍니다. ",2
8206,[여수시청] 여수시보건소 선별진료소는 09:00~18:00까지 운영합니다. ,2
44530,[칠곡군청] 설 연휴▲만남보다는 마음으로 함께하시고▲5명부터 사적모임금지▲타지역 방문자제▲마스크 착용 등 방역수칙 준수하며 안전하고 행복한 설 보내시기 바랍니다. ,0
3454,"[보성군] 전남 도내 수해복구지역 봉사활동에 참여하시는 자원봉사자들께서는, 코로나19 방역수칙준수, 마스크 착용, 거리두기 실천에 협조바랍니다. ",0
27724,[강릉시청]관내 10대확진자 급증 위험/ 강릉교육청 행정명령에 따라 학원 및 교습소 운영을 금일 12시~17일 24시까지 중단하오니 학부모님들께서는 양지바랍니다 ,2
24122,[봉화군청]12.1.(화) 0시부터 2주간 사회적거리두기 1.5단계가 시행됩니다. 모임·회식·행사 등을 자제해주시고 마스크착용 등 개인방역수칙 준수 바랍니다. ,2
43322,"[진안군청] 사회적 거리두기 일부조정 2.8(월)~14.(일)까지 식당,카페,실내체육시설,노래연습장,방문판매업은 22시까지 운영제한, 5인 이상사적모임금지 유지 ",2
16198,"[남원시청] 연휴 이후가 중요합니다. 마스크 착용, 손씻기, 방역수칙을 준수해 주시고 발열, 호흡기 유증상자는 보건소☎063-625-1339에 문의해주세요. ",0
11627,"[성주군청] 코로나19 확산방지를 위해 실내외 마스크 착용, 불필요한 외출자제, 밀집·밀폐·밀접 장소 가지 않기 등 사회적 거리두기를 실천해 주시기 바랍니다. ",0
